0x00400000  lw $4, 0($29): 7fffef48
0x00400004  addiu $5, $29, 4
0x00400008  addiu $6, $5, 4
0x0040000c  sll $2, $4, 2
0x00400010  addu $6, $6, $2
0x00400014  jal 0x00400024
0x00400024  addi $29, $29, -4
0x00400028  sw $31, 0($29): 7fffef44
0x0040002c  lui $4, 4097
0x00400030  lui $1, 4097
0x00400034  ori $5, $1, 200
0x00400038  ori $6, $0, 5
0x0040003c  jal 0x0040025c
0x0040025c  ori $8, $0, 4
0x00400260  add $9, $0, $0
0x00400264  beq $9, $8, 180
0x00400268  ori $10, $0, 2
0x0040026c  beq $10, $8, 164
0x00400270  add $11, $9, $9
0x00400274  add $11, $11, $11
0x00400278  add $11, $11, $11
0x0040027c  add $11, $11, $11
0x00400280  add $12, $10, $10
0x00400284  add $12, $12, $12
0x00400288  add $11, $11, $12
0x0040028c  add $11, $11, $4
0x00400290  lw $13, 0($11): 10010008
0x00400294  add $11, $9, $9
0x00400298  add $11, $11, $11
0x0040029c  add $11, $11, $11
0x004002a0  add $11, $11, $11
0x004002a4  addi $14, $10, -2
0x004002a8  add $12, $14, $14
0x004002ac  add $12, $12, $12
0x004002b0  add $11, $11, $12
0x004002b4  add $11, $11, $5
0x004002b8  sw $13, 0($11): 100100c8
0x004002bc  add $11, $9, $9
0x004002c0  add $11, $11, $11
0x004002c4  add $11, $11, $11
0x004002c8  add $11, $11, $11
0x004002cc  addi $14, $10, -2
0x004002d0  add $12, $14, $14
0x004002d4  add $12, $12, $12
0x004002d8  add $11, $11, $12
0x004002dc  add $11, $11, $4
0x004002e0  lw $13, 0($11): 10010000
0x004002e4  add $11, $9, $9
0x004002e8  add $11, $11, $11
0x004002ec  add $11, $11, $11
0x004002f0  add $11, $11, $11
0x004002f4  add $12, $10, $10
0x004002f8  add $12, $12, $12
0x004002fc  add $11, $11, $12
0x00400300  add $11, $11, $5
0x00400304  sw $13, 0($11): 100100d0
0x00400308  addi $10, $10, 1
0x0040030c  j 0x0040026c
0x0040026c  beq $10, $8, 164
0x00400270  add $11, $9, $9
0x00400274  add $11, $11, $11
0x00400278  add $11, $11, $11
0x0040027c  add $11, $11, $11
0x00400280  add $12, $10, $10
0x00400284  add $12, $12, $12
0x00400288  add $11, $11, $12
0x0040028c  add $11, $11, $4
0x00400290  lw $13, 0($11): 1001000c
0x00400294  add $11, $9, $9
0x00400298  add $11, $11, $11
0x0040029c  add $11, $11, $11
0x004002a0  add $11, $11, $11
0x004002a4  addi $14, $10, -2
0x004002a8  add $12, $14, $14
0x004002ac  add $12, $12, $12
0x004002b0  add $11, $11, $12
0x004002b4  add $11, $11, $5
0x004002b8  sw $13, 0($11): 100100cc
0x004002bc  add $11, $9, $9
0x004002c0  add $11, $11, $11
0x004002c4  add $11, $11, $11
0x004002c8  add $11, $11, $11
0x004002cc  addi $14, $10, -2
0x004002d0  add $12, $14, $14
0x004002d4  add $12, $12, $12
0x004002d8  add $11, $11, $12
0x004002dc  add $11, $11, $4
0x004002e0  lw $13, 0($11): 10010004
0x004002e4  add $11, $9, $9
0x004002e8  add $11, $11, $11
0x004002ec  add $11, $11, $11
0x004002f0  add $11, $11, $11
0x004002f4  add $12, $10, $10
0x004002f8  add $12, $12, $12
0x004002fc  add $11, $11, $12
0x00400300  add $11, $11, $5
0x00400304  sw $13, 0($11): 100100d4
0x00400308  addi $10, $10, 1
0x0040030c  j 0x0040026c
0x0040026c  beq $10, $8, 164
0x00400310  addi $9, $9, 1
0x00400314  j 0x00400264
0x00400264  beq $9, $8, 180
0x00400268  ori $10, $0, 2
0x0040026c  beq $10, $8, 164
0x00400270  add $11, $9, $9
0x00400274  add $11, $11, $11
0x00400278  add $11, $11, $11
0x0040027c  add $11, $11, $11
0x00400280  add $12, $10, $10
0x00400284  add $12, $12, $12
0x00400288  add $11, $11, $12
0x0040028c  add $11, $11, $4
0x00400290  lw $13, 0($11): 10010018
0x00400294  add $11, $9, $9
0x00400298  add $11, $11, $11
0x0040029c  add $11, $11, $11
0x004002a0  add $11, $11, $11
0x004002a4  addi $14, $10, -2
0x004002a8  add $12, $14, $14
0x004002ac  add $12, $12, $12
0x004002b0  add $11, $11, $12
0x004002b4  add $11, $11, $5
0x004002b8  sw $13, 0($11): 100100d8
0x004002bc  add $11, $9, $9
0x004002c0  add $11, $11, $11
0x004002c4  add $11, $11, $11
0x004002c8  add $11, $11, $11
0x004002cc  addi $14, $10, -2
0x004002d0  add $12, $14, $14
0x004002d4  add $12, $12, $12
0x004002d8  add $11, $11, $12
0x004002dc  add $11, $11, $4
0x004002e0  lw $13, 0($11): 10010010
0x004002e4  add $11, $9, $9
0x004002e8  add $11, $11, $11
0x004002ec  add $11, $11, $11
0x004002f0  add $11, $11, $11
0x004002f4  add $12, $10, $10
0x004002f8  add $12, $12, $12
0x004002fc  add $11, $11, $12
0x00400300  add $11, $11, $5
